arch_id,n,gbs,lr,dp,main,decay,cfg,sub,cluster_id,n_jobs,routine,cluster_name
attn,20M,16,all_parallel,1,yes,no,yes,yes,17368562,6,,
attn,20M,32,all_parallel,1,yes,no,yes,yes,17368563,6,,
attn,50M,16,all_parallel,1,yes,no,yes,yes,17368564,6,,
attn,50M,32,all_parallel,1,yes,no,yes,yes,17368565,6,,
gdn,20M,16,all_parallel,1,yes,no,yes,yes,17368566,6,,
gdn,20M,32,all_parallel,1,yes,no,yes,yes,17368567,6,,
gdn,50M,16,all_parallel,1,yes,no,yes,yes,17368568,6,,
gdn,50M,32,all_parallel,1,yes,no,yes,yes,17368569,6,,
attn,20M,16,all_parallel,1,no,yes,yes,yes,17369067,6,,
attn,20M,32,all_parallel,1,no,yes,yes,yes,17369068,12,,
attn,50M,16,all_parallel,1,no,yes,yes,yes,17369069,6,,
attn,50M,32,all_parallel,1,no,yes,yes,yes,17369070,12,,
gdn,20M,16,all_parallel,1,no,yes,yes,yes,17369071,6,,
gdn,20M,32,all_parallel,1,no,yes,yes,yes,17369072,12,,
gdn,50M,16,all_parallel,1,no,yes,yes,yes,17369073,6,,
gdn,50M,32,all_parallel,1,no,yes,yes,yes,17369074,12,,
attn,150M,16,all_parallel,1,yes,no,yes,yes,17369427,6,,
attn,150M,32,all_parallel,1,yes,no,yes,yes,17369428,6,,
attn,300M,16,all_parallel,1,yes,no,yes,yes,17369429,6,,
attn,300M,32,all_parallel,1,yes,no,yes,yes,17369430,6,,
gdn,150M,16,all_parallel,1,yes,no,yes,yes,17369431,6,,
gdn,150M,32,all_parallel,1,yes,no,yes,yes,17369432,6,,
gdn,300M,16,all_parallel,1,yes,no,yes,yes,17369433,6,,
gdn,300M,32,all_parallel,1,yes,no,yes,yes,17369434,6,,
attn,150M,16,all_parallel,1,no,yes,yes,yes,17370916,6,,
attn,150M,32,all_parallel,1,no,yes,yes,yes,17370917,12,,
attn,300M,16,all_parallel,1,no,yes,yes,yes,17370918,6,,
attn,300M,32,all_parallel,1,no,yes,yes,yes,17370919,12,,
gdn,150M,16,all_parallel,1,no,yes,yes,yes,17370920,6,,
gdn,150M,32,all_parallel,1,no,yes,yes,yes,17370921,12,,
gdn,300M,16,all_parallel,1,no,yes,yes,yes,17370922,6,,
gdn,300M,32,all_parallel,1,no,yes,yes,yes,17370923,12,,
attn,150M,64,all_parallel,4,yes,no,yes,yes,17372588,1,,
attn,150M,64,all_parallel,4,yes,no,yes,yes,17372614,1,,
attn,150M,64,all_parallel,4,yes,no,yes,yes,17372669,6,,
attn,150M,64,all_parallel,4,no,yes,yes,yes,17378424,24,,
attn,150M,128,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,no,yes,yes,yes,385290,24,train,capella
attn,300M,128,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,no,yes,yes,yes,385290,24,train,capella
gdn,150M,128,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,no,yes,yes,yes,385290,24,train,capella
gdn,150M,128,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,no,yes,yes,yes,231668,24,train,alpha
gdn,300M,128,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,yes,no,yes,yes,231668,6,train,alpha
attn,150M,256,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",8,yes,no,yes,yes,387350,6,train,capella
attn,300M,256,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",8,yes,no,yes,yes,387350,6,train,capella
gdn+attn_1-3,150M,64,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,yes,no,yes,yes,387351,6,train,capella
gdn+attn_1-3,300M,64,"[0.00025, 0.0005, 0.001, 0.002, 0.004, 0.008]",4,yes,no,yes,yes,387352,6,train,capella
